Gene,ds_1_1,ds_1_2,ds_1_3,ds_2_1,ds_2_2,ds_2_3,ds_3_1,ds_3_2,ds_3_3,ds_4_1,ds_4_2,ds_4_3,ds_5_1,ds_5_2,ds_5_3,ds_6_1,ds_6_2,ds_6_3,ds_7_1,ds_7_2,ds_7_3,ds_8_1,ds_8_2,ds_8_3,ds_9_1,ds_9_2,ds_9_3,ds_10_1,ds_10_2,ds_10_3
Gene_00000,14.777320233924607,14.692272328841787,14.417580331405274,18.27491648431978,18.505807713652707,17.9503285646174,22.514057948147634,22.69993965500626,22.423880319878737,26.08839913756709,26.42778121607728,25.980815205754503,29.547951347959252,28.74243790686387,28.396522112021074,29.64653225046382,29.152308073319887,29.51649892668714,28.069016038372236,27.580777117606747,27.798561090372107,24.51345388262095,24.554451139188227,24.775588529229125,20.702331037345402,20.267631012771147,20.598002608816945,16.56921763618761,16.50954410426499,16.42094716250736
Gene_00001,22.60190298794662,22.745772415884936,22.63455182929741,21.407446918381737,21.489728234972326,21.366624007971776,23.43526930542425,23.852178521448568,23.52436737772238,25.972252132174027,25.494103466849054,25.28205112863839,24.208544340795306,24.574359727631812,24.041191672626873,21.97767007962055,21.86085985357562,21.704497069601807,22.031540810329076,22.224177114450168,22.12862250763109,24.2991166858206,24.681771127783893,24.498934156657544,25.42895347541601,25.56702581403864,25.81421475484089,23.537340897580854,23.475128794645084,23.575527582900914
Gene_00002,30.572298572278115,30.544752697666148,29.91783876581072,25.65988776597503,25.750096500539886,26.213732222957955,23.176714891516617,22.991162851742178,23.615337400614937,22.663052590603193,22.28648247759167,22.48468066781623,24.580578147334663,24.13586320115551,24.4380046972789,28.324771936161696,28.220941089353484,28.36810017782211,32.27789799354852,32.52287453638093,31.749384739051433,34.79201397803435,35.63897344056487,35.33243270219243,35.47268877527261,35.573385037490596,35.63185545340677,33.50096127451901,33.896785807085976,32.8329963925545
Gene_00003,18.919635086519826,19.118187405505886,19.11723339748581,25.24793590093133,25.852411067131182,25.31753751921318,27.882845993986166,28.04511450579042,28.044035650804705,19.415297213550744,19.58745005035975,19.249952449256014,23.263191869579614,23.216073469150686,23.393474553836622,29.49488580674235,28.818298646047307,28.918387009738968,20.78437349820025,21.10043895187453,20.973230737992772,21.43805200059876,21.571303728525294,21.47204087584116,29.22701035376055,29.369186622165557,29.08163436026691,22.716113219981043,23.070399193347267,22.981784477087153
Gene_00004,35.22493796455145,35.06858130290666,34.729502428330605,37.8024805046057,37.84806184776764,37.90686659847909,42.03669756889045,41.986068689400774,41.35779284296953,44.14092501277086,45.282904532667246,44.62702589251527,43.0957437343698,42.70162551773233,43.00600263134735,38.117062327001904,38.61651027844999,38.40001518950556,34.911443058062616,35.04528389188947,34.86567730360922,35.93121166621583,36.43681364091769,35.94325131664966,40.672144146728456,39.90224127539074,40.15154609109664,43.255170545723814,44.32701505957062,43.71791728258205
Gene_00005,40.05573374279649,40.633258524039086,40.44235451642497,31.932055866343983,32.41202498529921,32.69726481248733,26.135978030728133,26.05940656941137,26.636994684446055,30.209412563355784,30.235305302289227,29.966756410075533,38.933440223004666,38.77485814990105,40.03897508611615,38.32079607320773,39.15529853386443,38.13697469754172,30.08863674076839,30.076890895963892,30.010793630209932,26.054420470152653,26.126505852768755,26.009784517094523,33.642271865848144,33.51635786769338,33.512783100194916,40.101031811342544,39.73853510253042,39.91702783585701
Gene_00006,35.88837665444077,35.54798604166479,35.118231078618614,28.582755422913998,28.028311465603455,28.703184389161027,22.636657183993485,22.428047029898504,23.00710564407803,26.49929093734354,26.54175498241095,26.311495568750935,34.40057335178336,34.43613928238422,34.606983527158896,36.520183157967466,36.19948526027539,35.52680127048512,28.67003136229353,27.9698629528996,28.195332028158024,22.38835094999261,22.359813576865346,22.845815384603313,26.52922395722778,26.48917665794961,26.213743344441507,34.55956732782033,34.367435401960904,34.5277605467182
Gene_00007,37.636533305086715,37.20663882592008,37.306313679372785,35.26497321246306,35.52408546428434,35.11554517605016,38.55729803527208,38.51535255897363,37.67056396850006,41.5923003195008,41.062187451591164,40.802238642904534,39.03598465031488,38.52861484579559,38.56291643844449,35.3846501290423,35.118625551450236,35.29964142174155,37.817368209681305,37.563310019854086,36.43404404929995,40.54713873532794,40.79550208551368,41.437665249588214,39.2877816584563,39.00171110316244,39.710538731611614,36.075022782463684,34.54303778076255,36.120411704827035
Gene_00008,29.456570663733824,29.213928430079758,29.184084062519936,28.39885481489964,28.45811220599026,28.257432463071943,27.411686983734224,27.19572889411049,27.65941161801203,26.29682923875587,25.941335535610406,25.852650243514674,24.76905767001239,24.606820972394818,25.021102876409618,23.907646461636848,23.768657150796482,23.986064865672937,23.374652925751267,23.90653597061941,23.239039397779685,23.665117242203127,23.541694722060708,23.012123571594596,24.009319947612934,23.846597344756994,24.08485223351602,24.772578180773518,24.97399197601694,24.797276036425714
Gene_00009,28.35750970251935,27.974361146787906,28.012087687808705,21.95300624941822,22.010020107383824,21.861114832078854,29.58255741479427,29.17083131776361,29.578026457334083,37.501886635246755,37.69701795832536,38.44416270669595,32.28385266007242,32.651888894522656,32.562005410176475,22.813415674712207,22.951306150399468,22.632355682630603,25.15224866002721,25.285095705499028,25.463143079499392,35.738339538320616,36.059507399161696,35.881674837192314,35.93998304083685,35.96631864681734,36.56412555176627,26.195822345328516,25.831180204408458,25.591539138877998
