Gene,ds_1_1,ds_1_2,ds_1_3,ds_2_1,ds_2_2,ds_2_3,ds_3_1,ds_3_2,ds_3_3,ds_4_1,ds_4_2,ds_4_3,ds_5_1,ds_5_2,ds_5_3,ds_6_1,ds_6_2,ds_6_3,ds_7_1,ds_7_2,ds_7_3,ds_8_1,ds_8_2,ds_8_3,ds_9_1,ds_9_2,ds_9_3,ds_10_1,ds_10_2,ds_10_3,ds_11_1,ds_11_2,ds_11_3,ds_12_1,ds_12_2,ds_12_3
Gene_00000,18.064370610229258,17.984186375804992,17.81029688698303,15.990761091320522,16.010042375484808,16.034917270124247,14.327321387958827,14.31006560265904,14.09593103708427,13.320736236511598,13.665359915504204,13.467430525349862,13.380345191026198,13.25797956213289,13.352482417763365,13.800484061323019,13.981311834310576,13.902928642061896,15.088012084945188,15.145855357561567,15.068233061341921,17.039330141254307,17.279097145135097,17.045039594651897,19.558616325477566,19.18838172918842,19.308268628214318,21.280374104172534,21.807692617737377,21.5080329840611,23.40400820552986,23.295061254879883,23.649610736027682,25.638103158341384,25.513639020501472,25.65397999936858
Gene_00001,37.01295285525541,37.546606729582905,37.37020449266292,35.60693821357145,36.142144303482944,36.460210792695186,34.22543524836554,34.12516382986004,34.8815236878345,30.72602352449884,30.7523590549867,30.479217709972758,28.012784675229575,27.898684163131023,28.808221962402637,25.99095758445563,26.556956213962614,25.86628132332253,25.96766041011144,25.957523290515727,25.90047878677422,26.639242204287207,26.712945627055674,26.593604345410366,29.38392509231272,29.273948943715897,29.270826660511712,32.02489239067153,31.73540063528988,31.877945859666976,35.186356255867146,34.688327033375835,35.041316330189595,37.44503626680345,36.04854369603433,37.53253581695586
Gene_00002,20.331470804856206,20.138632831923108,19.89516819799589,26.467958166627476,25.954536725947538,26.579476765639846,33.56615838544751,33.25682642816028,34.11546792279543,36.41769132031918,36.47604920201245,36.15960615943839,32.45284595089658,32.486398172689135,32.647569380522576,25.597017293006644,25.37223995282882,24.900755359093054,20.001243405939086,19.51278078082123,19.670076104212008,20.958178184572,20.931463785094486,21.386419690839737,28.291851499405066,28.24914341846169,27.95541004667803,34.992858960948894,34.79831817518847,34.96065340135519,36.39397673697045,35.70154689341297,35.828536763587145,30.89730517323878,30.721946307129702,31.122621310645545
Gene_00003,32.52654933730541,32.15502245216164,32.24116426050082,27.82393279775345,28.028371401415903,27.70603463239249,23.002675909374116,22.97765189974888,22.473664350081272,19.42833745315689,19.18071441699651,19.059288741164337,18.32615019787521,18.087956251269787,18.104059755370972,19.906229892115753,19.75657329302014,19.858406814476464,24.199464723284613,24.036892008856235,23.31427080829806,28.645708637942946,28.821172169715293,29.274847064414367,33.17828037111998,32.936695616552434,33.535296015931834,36.15420379703495,34.61885624370152,36.1996923434774,35.22202395881686,34.533370320584034,35.578312583243445,32.76508571886061,32.431717810637274,31.979682739885174
Gene_00004,31.956119327239186,31.692887593274186,31.66051077039569,29.529928569312386,29.591546072465782,29.382873627315753,35.40725898839734,35.1283092099877,35.72724112918586,36.50710006635451,36.01357881039397,35.89045967676926,30.152878049902778,29.955377465760478,30.459707985575267,30.798972090196738,30.61991942132458,30.899994423831323,36.35562769200097,37.18288882894008,36.14470199618018,34.67803537875188,34.49717633308442,33.72116128513528,29.356073727229866,29.15711362602964,29.448426670111854,32.655860327736136,32.92136925932781,32.68841768687281,37.18035045377602,36.506154280682786,37.58617502291568,32.307559255010226,32.53187493960509,32.841757405430656
Gene_00005,32.772177113565355,32.32938039195753,32.37298016137261,28.338934075291522,28.41253274072752,28.220312288895666,30.32425657072125,29.902207603549282,30.319612012287468,35.150258354210315,35.33315359054666,36.03344718347044,36.61462341875368,37.032030481991754,36.93008942912073,32.730440129576685,32.92827179245756,32.47067309972076,28.58847567095901,28.739471893156256,28.94184358121836,30.019507602603895,30.28928233653894,30.13990645576232,34.55744140645732,34.58276393261267,35.15757436217449,37.09525592666186,36.57889521231736,36.23954542824861,33.819467624711685,33.38533042735604,33.042879634606365,29.312767174373136,28.538933111510072,28.916038891147096
Gene_00006,18.226809508550986,18.12768394849736,18.00435000834841,16.12529604658869,16.01191972979945,16.115184285612088,19.483172765863877,19.62149949833834,19.672280152921324,25.666958278250583,25.165911139577663,25.235807304775026,28.39385517142815,28.629015705148973,29.1494251899871,26.480490649827356,26.48719482502228,26.65828999364513,21.065241622906385,20.528911559483685,20.912817803237612,16.43860659039634,16.40467672527384,16.58356117162697,17.31987034461103,17.352952195950802,16.99071194880443,22.532753124787234,22.507259934188326,22.870341567059796,27.97867784753044,28.3779292775284,27.9416653239144,28.87817699846282,28.085240009142243,28.351332322411523
Gene_00007,26.721353891964892,26.5078415042476,26.883042806437185,26.38682138718297,26.24617766181449,26.379766293972093,20.22632410486133,20.193451751280158,19.593129000892535,20.7148346972386,20.328236048575317,20.548136913433844,26.444522723973265,26.76546022357053,26.859514836040155,26.085762008319044,26.052898992203705,26.351110297717764,19.855663982642906,19.79145401001821,19.8027020745324,20.578622755226526,20.806122638353152,20.867210204080504,26.901715574460372,27.016277378050685,26.973659935398338,25.642785772858332,26.067784960717493,25.6743157581777,19.578083371473454,19.661302747878114,19.439901002605684,20.73539502306043,21.149375898294597,21.372901229654563
Gene_00008,30.86248976008874,31.339264518331404,30.905593621442634,28.461542540627633,28.359482206738893,28.494107765827806,28.916788564293345,28.641004421310363,28.854326323295027,32.39793820529915,33.13501281846215,32.800449275567516,37.57764448695921,37.51842480155968,36.82119432194908,40.84243300162313,39.795469293299654,39.98527902951173,40.13367001875436,39.1176246203349,39.46699399052498,36.70286843691605,36.46538062098998,35.71023028939194,31.772289166143114,31.768645611000608,31.350927589796154,27.976619764078144,27.975483124169727,28.222101958885624,28.546716804457756,28.518076193351913,28.661396462440035,32.75730111410656,32.670550985562514,32.13709502449136
Gene_00009,25.800993071383832,26.14594071856685,26.14381552357776,28.623528196788133,28.98350239989656,28.32252558982912,32.81724067688136,33.33651439633072,33.26548098701868,35.441744396267524,36.072339285882116,35.430406995831476,34.52581728703653,34.16266119128072,34.6332019051767,30.24405322928869,30.309734733002873,29.210363947669176,26.31960785671765,26.719962925391616,26.834915400961478,27.071110358967143,27.083054361588836,26.913151312544286,31.324446460471716,31.194205489037998,31.42564563978858,35.58640946186536,35.19350559315208,34.94636416284146,35.32279520602344,34.882559937794,35.36912894176072,31.524734354673924,31.497359187134855,31.665539059347445
