Gene,ds_1_1,ds_1_2,ds_1_3,ds_2_1,ds_2_2,ds_2_3,ds_3_1,ds_3_2,ds_3_3,ds_4_1,ds_4_2,ds_4_3,ds_5_1,ds_5_2,ds_5_3,ds_6_1,ds_6_2,ds_6_3,ds_7_1,ds_7_2,ds_7_3,ds_8_1,ds_8_2,ds_8_3,ds_9_1,ds_9_2,ds_9_3,ds_10_1,ds_10_2,ds_10_3
Gene_00000,26.78973052773161,26.967234473061037,26.926092991811352,25.448698889089606,25.673331547550116,25.670373403186005,23.158339792359595,23.701142813913393,22.972702118476544,20.51732491125625,20.53908377665449,20.095915775812543,17.730763443771593,17.764171940341914,17.77278228840238,15.598400837916545,15.70232776104545,15.474814254274689,14.176046781429752,14.12579586773265,14.00910054018556,14.091338182485547,13.911186729714963,13.832649729643448,14.32580077053608,14.442237149697602,14.594107620462543,16.554549313524202,16.752599779638857,16.751356724495523
Gene_00001,29.190366678833296,29.94304837802395,29.30414997730207,27.648809176785395,27.548106163993783,27.629111538542894,25.040005628060673,25.300793792436227,25.082085324002914,22.474046410549334,22.70822705779984,22.511274389985527,19.916467300791098,20.04253823599929,19.8357913556452,17.766248929339557,18.008183919621878,17.70548883091064,16.86839709884948,16.701110471425018,16.87130042943671,16.99657319223075,16.831291433357542,17.064047230457497,17.910048342076347,17.886927326346825,18.183741899506632,20.305375488094295,20.41091166388444,20.538674369715203
Gene_00002,34.942889852752266,35.00506032044817,34.77079685941444,33.65660511957524,33.03882630175566,33.080881271185056,30.32839254907801,30.924788152227958,30.63199185962886,28.042645024490454,27.79916952977973,28.24230612301752,25.44625801586838,25.534996345224595,25.46330258999772,23.312784559437695,23.541686140628293,22.796721372522615,22.50887305265256,22.064869623723713,22.59816622325028,22.22985435464008,22.300260366788596,22.58422823024743,23.66202277673361,23.367625059658838,23.75404515222741,25.83292744461702,25.946994924719974,25.502245795745672
Gene_00003,29.505093865685996,30.700676575832876,30.378964447234267,27.677149468927162,28.098569820674584,28.35420580901531,25.77940311138269,25.97131154160247,25.735924411698175,23.129451433682473,22.875700408181768,23.490257209723833,20.521428659389468,20.880102497074855,20.36566533616287,18.53237261068619,18.606109132832906,18.659791414314327,17.47303914908039,17.40905068342106,17.79921034097888,17.42796841767816,17.39487090746667,17.76715691756229,18.307084385580673,18.583007308300722,18.376328205133333,20.514380006316948,20.479613171773195,20.40076794262731
Gene_00004,46.1252699296058,46.54201530433103,45.95086065715268,44.63872510969137,44.174631775354456,44.63780997051729,42.70482645107709,43.77841737434754,43.2439288678364,39.95532504681494,39.342824032354855,40.15612148704026,37.069238668598544,37.68110449448091,37.08610192725273,34.17986861617293,34.82239350009477,34.39836462899114,33.33308888885003,33.66793322268663,33.254225172202815,33.11715263561532,33.725087491129244,33.51034694345007,34.00747678606541,34.20540405700684,33.6473287490574,35.80354101494638,35.81541621697787,35.25899926449357
Gene_00005,38.60188785320798,39.67021758849146,38.901528703206964,36.8359065083304,37.1922826805172,37.533667878918685,34.01209883393257,34.031823007149576,34.62701844439596,31.987876433097185,32.04508083289135,31.5424160593887,29.277052524339904,29.160454034013295,29.382861983649896,27.278084395014638,27.010695767979914,27.16817791429638,26.447433389792586,26.29828957778665,26.521314475745047,26.89283731826319,26.716048980973998,26.776479497449444,28.046122583882514,27.810369784096977,27.32274795785469,29.820045138763586,29.82742848060416,30.26188184333198
Gene_00006,35.4512622383436,35.51102183112223,35.369727874201075,34.381203187405376,33.65299646546479,33.94920779799537,31.578655709953782,31.635016229359074,31.825622056622727,28.722799880046786,28.613163442806652,29.568874551010826,26.17645639442039,26.75903720103724,25.99316059190325,24.193558384337507,23.541161276766086,23.747606516344575,23.214596008083102,22.838608252283144,22.88840124264643,22.386373277071304,22.919611512378506,23.11261461133599,23.922762047668336,23.988714220518297,23.52893714776202,25.747141154161387,26.086232031806627,25.78705359986194
Gene_00007,44.195688445689,44.37200899797313,43.66785460922908,41.928632138896354,42.84762887749596,41.95910172913356,39.74281016083469,39.99615596029638,39.89297372507647,37.4577202420372,37.39172475909838,37.111198791964355,34.641432204513634,34.5866740481017,34.287270815891574,32.83277817629749,32.96823836322359,33.46480357526465,30.9927226546272,31.095912390796975,31.297175611156835,32.04796944008933,31.020755867366688,31.367388231784375,32.75996363184769,32.32480913255535,32.808691213681534,34.66764398069884,34.94430900518133,34.598131020641816
Gene_00008,32.981340673188086,32.92230723816024,32.89130909203454,31.596121630860402,30.700109821278744,30.93006342197278,29.021054208863895,28.959322717514585,29.099957094110472,26.0108339239711,25.690266426023463,25.83467327685345,23.47200691282097,23.019476298024287,23.490138023198373,21.63136504840484,21.45113694613182,21.405391013339315,20.014178220043522,20.343801716307137,20.150074580143226,20.462642408335,20.021242371654093,20.12462057896735,21.43685110483038,21.73685932663919,21.229264340244516,23.6709034828099,23.50252707129984,22.943389180653945
Gene_00009,36.43843449649494,35.54295626383167,36.24044725134327,33.52535276800491,33.66735298682894,33.87415868915447,31.37051544267926,31.414636310458985,31.854281719069252,28.936746181478924,28.87475016965069,28.919345637635317,26.51960365780803,26.646186260615654,26.289646545693547,24.307797694403686,24.026453762535123,23.99121707536365,23.119759496315208,23.201689465799596,23.104700431052045,22.831496633630756,23.241478664647623,23.624995433225422,24.44272305582032,24.70401213390508,23.9420689804267,26.521250187212942,26.358259281715036,26.73285654489849
Gene_00010,36.1228048032281,35.87193036973135,36.00273192024405,35.182024534741714,34.51337724021672,34.943645845785035,32.176791347842126,32.32134564704553,32.498323152414784,29.76900426451582,29.238278482973914,29.389024156235877,26.851819273051852,27.01361887429078,26.685577978891644,25.424850170295827,25.26628674411484,24.941954276347044,23.852750229512353,23.31629824944496,24.236642179342677,23.62532893053451,23.59225520105137,23.56459529193133,24.174866529150965,24.298782461417378,24.09857328690273,25.667510633257205,26.265310693428294,26.08621326240167
Gene_00011,30.41951375713103,30.75284530111877,30.87077538019443,29.41357123436501,28.70084672207845,28.73351366460026,26.58550900747554,26.677129719050036,26.51394012555399,23.825374091098595,23.974755987632314,23.81799636464164,21.313227953157163,21.085305889872636,21.617505101628648,19.5250764712847,19.882915451869525,19.366047268716475,18.0420172275334,18.78761509049287,18.170503351288996,18.46753665154241,18.38978830469485,18.150408886267364,19.121952256871776,19.901888331962876,19.4991480390434,22.30420597926955,21.772825890610324,21.398616567399053
Gene_00012,39.06965917942442,38.33683884598326,38.233817892549396,36.70308143582977,36.70960922965835,37.21596942693817,34.43860323070448,33.96180924115468,35.02030250086951,31.270508948452704,32.846071771919746,32.18248038300444,29.133772939755108,29.518713859438773,29.526533095346327,27.214496360280606,27.998051936008817,27.363934075890235,26.15242396253322,26.604579072384446,26.89987849982513,26.407813507298435,26.738609605159347,26.531159944502473,27.863454657675582,27.664869416659034,27.544398380189264,29.1679419219485,29.847495267228307,29.327661895362542
